@relation InstanceResultListener

@attribute Key_Dataset {playerdata}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.clusterers.MakeDensityBasedClusterer,weka.clusterers.EM}
@attribute Key_Scheme_options {'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1','-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"','-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1','-M 1.0E-6 -W weka.clusterers.XMeans -- -I 1 -M 1000 -J 1000 -L 3 -H 3 -B 1.0 -C 0.5 -D \"weka.core.EuclideanDistance -R first-last\" -S 10','-M 1.0E-6 -W weka.clusterers.SimpleKMeans -- -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10','-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42','-I 100 -N 3 -M 1.0E-6 -S 100'}
@attribute Key_Scheme_version_ID {-5643302427972186631,8348181483812829475}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Log_likelihood numeric
@attribute Number_of_clusters numeric
@attribute Time_training numeric
@attribute Time_testing numeric

@data
playerdata,8,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.SimpleKMeans -- -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10',-5643302427972186631,20120520.164,75,38,-80.09949,3,0.018,0.009
playerdata,9,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.SimpleKMeans -- -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10',-5643302427972186631,20120520.164,75,38,-84.190265,3,0.015,0
playerdata,10,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.SimpleKMeans -- -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10',-5643302427972186631,20120520.164,74,39,-85.401414,3,0.021,0.001
playerdata,1,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,74,39,-84.852388,78,1.171,0.017
playerdata,2,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,75,38,-84.795142,81,0.803,0.017
playerdata,3,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,74,39,-85.064087,79,0.462,0.019
playerdata,4,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,75,38,-85.143365,78,0.643,0.016
playerdata,5,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,75,38,-85.407066,81,0.367,0.017
playerdata,6,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,75,38,-84.956631,81,0.577,0.016
playerdata,7,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42',-5643302427972186631,20120520.164,75,38,-84.739889,80,0.449,0.017
